Identifier	Character	Dialogue	Filename	Line Number	Ren'Py Script
axolotl_info_df627596	a	The Amphibian Kingdom is well... not a kingdom. Technically we're a class.	game/script/axolotl_info.rpy	4	a "[what]"
axolotl_info_d0db53d8	a	De Jure, we're a federal electoral monarchy, with Sovereigns who collaboratively govern the realm via the Great Council.	game/script/axolotl_info.rpy	4	a "[what]"
axolotl_info_4735c42e	a	The elected monarch is more of a ceremonial position than anything else.	game/script/axolotl_info.rpy	4	a "[what]"
axolotl_info_68f63668	a	Technically they control the federated armies and fleets during wartime, but really those are their own thing.	game/script/axolotl_info.rpy	4	a "[what]"
axolotl_info_220f558e	a	Since my grandmother's rule, the Axolotl Kingdom has been the real power, bypassing the Great Council entirely.	game/script/axolotl_info.rpy	4	a "[what]"
axolotl_info_8456aa77	a	Many of the other Sovereigns have pledged alligeance to us, and are dependent on us for protection and trade.	game/script/axolotl_info.rpy	4	a "[what]"
axolotl_info_kingdomQuestions_9057e53a	a	Since then, the Great Council has been kind of been taken over by old religiously fanatic toads.	game/script/axolotl_info.rpy	20	a "[what]"
axolotl_info_kingdomQuestions_77edd9cc	a	They make proclamations now and then but nobody really listens.	game/script/axolotl_info.rpy	21	a "[what]"
axolotl_info_kingdomQuestions_ccaeeb82	a	It's still good to pay lip service to the Great Council though. They just weird me out.	game/script/axolotl_info.rpy	22	a "[what]"
axolotl_info_kingdomQuestions_c8674392	a	My grandmother was a visionary architect and urban designer. She designed this hall and planned our cities.	game/script/axolotl_info.rpy	25	a "[what]"
axolotl_info_kingdomQuestions_1bd678c3	a	When she took the throne, she developed a key relationship with the captains of industry.	game/script/axolotl_info.rpy	26	a "[what]"
axolotl_info_kingdomQuestions_216185ea	a	It ensured that our cities are the heartland of the Kingdom's economy. Since then, our advantage has only grown.	game/script/axolotl_info.rpy	27	a "[what]"
axolotl_info_kingdomQuestions_ffc9d0b2	a	The Federal Army and the Federal Fleet are technically under my control, but they have a strong loyalty to the stability of the Kingdom.	game/script/axolotl_info.rpy	30	a "[what]"
axolotl_info_kingdomQuestions_66c1f6a3	a	Their recruits come from all over the Amphibian Kingdom, but consist mostly of Frogs and Toads.	game/script/axolotl_info.rpy	31	a "[what]"
axolotl_info_kingdomQuestions_15c252c0	a	Commander Salamander heads the Army, and Captain Cicilian heads the Fleet. They butt heads from time to time, but work together well.	game/script/axolotl_info.rpy	32	a "[what]"
axolotl_info_kingdomQuestions_f8a5d055	a	Oh, me? I guess I can tell you a bit about myself.	game/script/axolotl_info.rpy	37	a "[what]"
axolotl_info_kingdomQuestions_38f05b4f	a	I'm the latest and greatest in a long long line of axolotl monarchs.	game/script/axolotl_info.rpy	39	a "[what]"
axolotl_info_kingdomQuestions_fcf1c54d	a	My mother went missing, so I've had to take over running the kingdom.	game/script/axolotl_info.rpy	41	a "[what]"
axolotl_info_axolotlQuestions_5b66848d	a	Was there anything specific you wanted to know about?	game/script/axolotl_info.rpy	44	a "[what]" nointeract
axolotl_info_axolotlQuestions_e226aff6	a	Well, the kingdom is the best managed land around. We have the highest population density cities, a strong industry, and a booming economy.	game/script/axolotl_info.rpy	46	a "[what]"
axolotl_info_axolotlQuestions_50577c5f	a	I just don't feel like anyone respects me. It's been a hassle trying to get everything running again.	game/script/axolotl_info.rpy	49	a "[what]"
axolotl_info_axolotlQuestions_28ea421e	a	Gosh, I couldn't think of anything like that. Everything's been way too hectic.	game/script/axolotl_info.rpy	52	a "[what]"
axolotl_info_axolotlQuestions_d0127267		The Queen makes sure that nobody else is in the chamber, and comes closer to you.	game/script/axolotl_info.rpy	55	"[what]"
axolotl_info_axolotlQuestions_85634a20		She whispers in your ear:	game/script/axolotl_info.rpy	56	"[what]"
axolotl_info_axolotlQuestions_d709417f	a	{i}Everything.{/i}	game/script/axolotl_info.rpy	57	a "[what]"
axolotl_info_axolotlQuestions_4fb73151	a	I'm afraid that the other Sovereigns are out to improve their lot with my mother gone.	game/script/axolotl_info.rpy	58	a "[what]"
axolotl_info_axolotlQuestions_3ca1c44f	a	She was the peacebroker, and now I'm here instead. I wasn't built for this.	game/script/axolotl_info.rpy	59	a "[what]"
axolotl_info_axolotlQuestions_815d74bc	a	Baron Olm is... difficult. He's a recluse and lives in a damp cave.	game/script/axolotl_info.rpy	64	a "[what]"
axolotl_info_axolotlQuestions_020970f5	a	Literally.	game/script/axolotl_info.rpy	64	a "[what]"
axolotl_info_axolotlQuestions_da82fbb4	a	The rest of the Amphibians at least get some sunlight now and then, but I've never seen the Baron at any function.	game/script/axolotl_info.rpy	64	a "[what]"
axolotl_info_axolotlQuestions_978272bd	a	I don't think he likes me very much.	game/script/axolotl_info.rpy	64	a "[what]"
axolotl_info_olmQuestions_0266ca0a	a	Anything else about the Baron?	game/script/axolotl_info.rpy	75	a "[what]" nointeract
axolotl_info_olmQuestions_d1eb2f70	a	Yeah, you know. Barons of Industry. They make steel and stuff. It's what our kingdom is built upon.	game/script/axolotl_info.rpy	77	a "[what]"
axolotl_info_olmQuestions_009a0d5d	a	Well... I don't actually know all that much about the Baron myself. I know that he holes himself up in his... hole... and tinkers with technology. I can't understand it myself.	game/script/axolotl_info.rpy	80	a "[what]"
axolotl_info_olmQuestions_d921001b	a	Herzog Frog is... charming?	game/script/axolotl_info.rpy	85	a "[what]"
credits_art_9a1ff865		Axolotl, Frog, Olm sprites and backgrounds: Naroxtica	game/script/credits.rpy	4	"[what]"
credits_art_aae5ec0e		Newt, Toad sprites and backgrounds: Frederico	game/script/credits.rpy	5	"[what]"
credits_art_7b5dba31		UI Design, Ideas: Oliver Lugg	game/script/credits.rpy	6	"[what]"
credits_music_2cfd2b86		Fluffing a Duck, Wallpaper, Cipher by Kevin MacLeod (incompetech.com) Licensed under Creative Commons: By Attribution 4.0 License http://creativecommons.org/licenses/by/4.0/	game/script/credits.rpy	8	"[what]"
import_taxes_30cbc1fd	f	You say that the trade deal is up for renegociation?	game/script/frog.rpy	3	f "[what]"
import_taxes_61690483	f	I'll be the judge of that.	game/script/frog.rpy	4	f "[what]"
import_taxes_3ec57d49	f	...	game/script/frog.rpy	5	f "[what]"
import_taxes_3ec57d49_1	f	...	game/script/frog.rpy	6	f "[what]"
import_taxes_3ec57d49_2	f	...	game/script/frog.rpy	7	f "[what]"
import_taxes_8e1f22ab		The Frog appears to be deep in thought.	game/script/frog.rpy	8	"[what]"
import_taxes_3ec57d49_3	f	...	game/script/frog.rpy	9	f "[what]"
import_taxes_3ec57d49_4	f	...	game/script/frog.rpy	10	f "[what]"
import_taxes_3ec57d49_5	f	...	game/script/frog.rpy	11	f "[what]"
import_taxes_3ec57d49_6	f	...	game/script/frog.rpy	12	f "[what]"
import_taxes_5e6b6107	f	Ambassador of the Axolotl.	game/script/frog.rpy	13	f "[what]"
import_taxes_288eb3dc	f	It is a good tiding that you are here today, for I was about to send a representative to re-negociate the trade deal between the Kingdom of Ambystoma and the Anura Duchy.	game/script/frog.rpy	14	f "[what]"
import_taxes_f342dd26	f	As the host, I would like to offer you the chance to make the first offer.	game/script/frog.rpy	16	f "[what]" nointeract
import_taxes_c1bbb32c	f	No, absolutely not.	game/script/frog.rpy	18	f "[what]"
import_taxes_b1896363	f	Perhaps.	game/script/frog.rpy	20	f "[what]"
import_taxes_b1896363_1	f	Perhaps.	game/script/frog.rpy	22	f "[what]"
import_taxes_125287aa	f	Okay.	game/script/frog.rpy	24	f "[what]"
import_taxes_7f1e5fea	f	I am raising import tax by 4%. Ribbit.	game/script/frog.rpy	26	f "[what]" nointeract
import_taxes_5b91c592		blah	game/script/frog.rpy	28	"[what]"
import_taxes_5b91c592_1		blah	game/script/frog.rpy	30	"[what]"
import_taxes_5b91c592_2		blah	game/script/frog.rpy	32	"[what]"
axolotl_intro_db7c6947		Today, you are beginning your work in the amphibian kingdom. It’s been a long journey, but now it is time to work.	game/script/intro.rpy	4	"[what]"
axolotl_intro_5fe000d1		You’re awaiting your first audience with Queen Axolotl.	game/script/intro.rpy	5	"[what]"
axolotl_intro_0218f972		The guard calls you in.	game/script/intro.rpy	7	"[what]"
axolotl_intro_3f4935f9		The throneroom is a lofty, well lit space. Arches made of marble are adorned with dangling glass pendants, holding up a ceiling built to look like a tranquil pond.	game/script/intro.rpy	11	"[what]"
axolotl_intro_ec363840		Seated on a throne, the queen seems to be deep in thought.	game/script/intro.rpy	13	"[what]"
axolotl_intro_1fe87955		As you walk up, the sound of your boots striking the bare tiled floor echoes across the chamber. 	game/script/intro.rpy	14	"[what]"
axolotl_intro_c7d2143b		Now at what feels to be the correct distance, you stand in front of her. She’s wearing a simple white dress, but her gills are gilt with chains of pearl and glass ornamentation. 	game/script/intro.rpy	18	"[what]"
axolotl_intro_3609cf95		She breathes softly, and mumbles underneath her breath. Her eyes are closed. She doesn’t stir.	game/script/intro.rpy	21	"[what]"
axolotl_intro_25a61526	a	…taxes…	game/script/intro.rpy	25	a "[what]"
axolotl_intro_axolotl_wakeup_01d27cba	a	*snore*	game/script/intro.rpy	35	a "[what]"
axolotl_intro_axolotl_wakeup_7c356e53		She startles.	game/script/intro.rpy	42	"[what]"
axolotl_intro_axolotl_wakeup_dc7680a9	a	O-oh, um, sorry, I didn’t see you there!	game/script/intro.rpy	46	a "[what]"
axolotl_intro_axolotl_wakeup_db2999c2		She hurriedly stands up, and quickly stamps down the dias her throne is elevated upon.	game/script/intro.rpy	48	"[what]"
axolotl_intro_axolotl_wakeup_27a37135		She stumbles at the last step, sending her hurtling towards you.	game/script/intro.rpy	52	"[what]"
axolotl_intro_axolotl_wakeup_036077c9		Before she falls further, she grabs your arm and steadies herself. You make eye contact. She looks tired.	game/script/intro.rpy	57	"[what]"
axolotl_intro_axolotl_wakeup_6ce1cb08		Her eyes look irritated, there are discolourations underneath them, and her hand feels clammy and hot.	game/script/intro.rpy	58	"[what]"
axolotl_intro_axolotl_wakeup_ede9a0fd		She gives you a slight smile, then straightens up.	game/script/intro.rpy	59	"[what]"
axolotl_intro_axolotl_wakeup_e1509009		You step forward, anticipating a fall. She stumbles for a bit, and loses her footing entirely.	game/script/intro.rpy	62	"[what]"
axolotl_intro_axolotl_wakeup_2e8ff98b		She falls into your awaiting arms, face-first. It’s not elegant.	game/script/intro.rpy	64	"[what]"
axolotl_intro_axolotl_wakeup_0890389c		She’s light, and fragile. Her gills brush up against your back.	game/script/intro.rpy	65	"[what]"
axolotl_intro_axolotl_wakeup_cbfffc2f		You set her back on her feet. She brushes herself off and takes a deep breath.	game/script/intro.rpy	70	"[what]"
axolotl_intro_axolotl_wakeup_e14f55a2		The moment feels like it lasts forever.	game/script/intro.rpy	73	"[what]"
axolotl_intro_axolotl_wakeup_5ee3683a		She takes a couple breaths into your ear. You feel her relax a bit.	game/script/intro.rpy	74	"[what]"
axolotl_intro_axolotl_wakeup_f685d40c		She then extricates herself from you and stands up straight.	game/script/intro.rpy	75	"[what]"
axolotl_intro_axolotl_wakeup_6a0b6c0c		She’s blushing.	game/script/intro.rpy	77	"[what]"
axolotl_intro_axolotl_wakeup_daf36c2d	a	A-ah!	game/script/intro.rpy	80	a "[what]"
axolotl_intro_axolotl_wakeup_46101b50		You both tumble into a heap. It's quiet for a bit. You both stay still.	game/script/intro.rpy	82	"[what]"
axolotl_intro_axolotl_wakeup_8b751860		Then you can feel her giggling into your shoulder.	game/script/intro.rpy	83	"[what]"
axolotl_intro_axolotl_wakeup_137e04ea		Standing up, she laughs and laughs with her face in her hands.	game/script/intro.rpy	85	"[what]"
axolotl_intro_axolotl_wakeup_052d05a1		You can't help but giggle too.	game/script/intro.rpy	86	"[what]"
axolotl_intro_axolotl_wakeup_9a499542	a	Heh. Hahaha. Alright, let's get to business then.	game/script/intro.rpy	87	a "[what]"
axolotl_intro_axolotl_wakeup_d36e60c5		She stumbles for a bit, leans forward, windmills her hands, and then eventually finds her footing.	game/script/intro.rpy	91	"[what]"
axolotl_intro_axolotl_wakeup_c24c56a9		Is she pouting a bit…?	game/script/intro.rpy	93	"[what]"
axolotl_intro_axolotl_wakeup_02816d8d	a	*ahem*. Let’s try that again. Greetings, I am Queen Axolotl. It is a pleasure to make your acquaintance.	game/script/intro.rpy	97	a "[what]"
axolotl_intro_axolotl_wakeup_f51522e6	a	Tell me, what brings you to me on this fine day?	game/script/intro.rpy	100	a "[what]" nointeract
axolotl_intro_axolotl_wakeup_a07444a7	a	You're hired. You start tomorrow.	game/script/intro.rpy	108	a "[what]"
axolotl_intro_axolotl_wakeup_5aa7f133	a	There’s a lot of issues in my kingdom, but the kind of help I need most right now is a diplomat and ambassador.	game/script/intro.rpy	110	a "[what]"
axolotl_intro_axolotl_wakeup_49e0cf87	a	I just can’t find the time to properly talk to all the other sovereigns.	game/script/intro.rpy	112	a "[what]"
axolotl_intro_axolotl_wakeup_0eaa6e29	a	Your first job will be to introduce yourself to our closest trading partners: Herzog Frog and Baron Olm.	game/script/intro.rpy	114	a "[what]"
axolotl_intro_axolotl_wakeup_5ec0b781	a	Meet me back here tomorrow and I'll give you the details. For now, get some rest. I'll have the servants prepare quarters for you and get you acquainted with the complex.	game/script/intro.rpy	116	a "[what]"
axolotl_intro_axolotl_wakeup_83fab51e		You're whisked away by a servant and given a tour of the complex.	game/script/intro.rpy	122	"[what]"
axolotl_intro_axolotl_wakeup_b3942bd6		There are a couple amenities in the complex that you might be interested in. Would you like to spend some time getting used to them?	game/script/intro.rpy	124	"[what]"
axolotl_intro_axolotl_wakeup_f7449f27		You read something.	game/script/intro.rpy	129	"[what]"
axolotl_intro_axolotl_wakeup_4432978d		You practise archery.	game/script/intro.rpy	131	"[what]"
axolotl_intro_axolotl_wakeup_1c6e0155		You wander around.	game/script/intro.rpy	133	"[what]"
